Current Works for Round 1:
9 Points: 33.6166666666667 Nominations: 74
10 Points: 31.8666666666667 Nominations: 69
11 Points: 37.0333333333333 Nominations: 68
12 Points: 35.45 Nominations: 62
13 Points: 28.7333333333333 Nominations: 61
14 Points: 28.0666666666667 Nominations: 58
15 Points: 28.0833333333333 Nominations: 56
16 Points: 25.15 Nominations: 55
17 Points: 29.4333333333333 Nominations: 54
18 Points: 28.5 Nominations: 53
19 Points: 22 Nominations: 52
21 Points: 24.9833333333333 Nominations: 50
22 Points: 25.1166666666667 Nominations: 50
25 Points: 25.3166666666667 Nominations: 50
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 25.8333333333333 Nominations: 75
34 Points: 24.8333333333333 Nominations: 74
35 Points: 24.3333333333333 Nominations: 73

Results of Round: 8
Work(s) Eliminated: 
19 Points: 22 Nominations: 52

Current Works for Round 9:
1 Points: 98.6666666666667 Nominations: 193
2 Points: 72.8 Nominations: 138
3 Points: 69.9 Nominations: 135
4 Points: 67.55 Nominations: 133
5 Points: 64.2833333333333 Nominations: 118
6 Points: 51.15 Nominations: 101
7 Points: 48.4 Nominations: 91
8 Points: 45.8166666666667 Nominations: 90
9 Points: 34.8666666666667 Nominations: 74
10 Points: 32.2833333333333 Nominations: 69
11 Points: 37.6166666666667 Nominations: 68
12 Points: 36.45 Nominations: 62
13 Points: 29.3166666666667 Nominations: 61
14 Points: 28.9833333333333 Nominations: 58
15 Points: 28.25 Nominations: 56
16 Points: 25.4833333333333 Nominations: 55
17 Points: 29.6833333333333 Nominations: 54
18 Points: 28.9166666666667 Nominations: 53
21 Points: 25.2333333333333 Nominations: 50
22 Points: 25.2833333333333 Nominations: 50
25 Points: 26.0666666666667 Nominations: 50
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 25.8333333333333 Nominations: 75
34 Points: 24.8333333333333 Nominations: 74
35 Points: 24.3333333333333 Nominations: 73

Results of Round: 9
Work(s) Eliminated: 
35 Points: 24.3333333333333 Nominations: 73

Current Works for Round 10:
1 Points: 98.6666666666667 Nominations: 193
2 Points: 72.8 Nominations: 138
3 Points: 69.9 Nominations: 135
4 Points: 67.55 Nominations: 133
5 Points: 64.2833333333333 Nominations: 118
6 Points: 51.15 Nominations: 101
7 Points: 48.4 Nominations: 91
8 Points: 45.8166666666667 Nominations: 90
9 Points: 34.8666666666667 Nominations: 74
10 Points: 32.2833333333333 Nominations: 69
11 Points: 37.6166666666667 Nominations: 68
12 Points: 36.45 Nominations: 62
13 Points: 29.3166666666667 Nominations: 61
14 Points: 28.9833333333333 Nominations: 58
15 Points: 28.25 Nominations: 56
16 Points: 25.4833333333333 Nominations: 55
17 Points: 29.6833333333333 Nominations: 54
18 Points: 28.9166666666667 Nominations: 53
21 Points: 25.2333333333333 Nominations: 50
22 Points: 25.2833333333333 Nominations: 50
25 Points: 26.0666666666667 Nominations: 50
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 38 Nominations: 75
34 Points: 37 Nominations: 74

Results of Round: 10
Work(s) Eliminated: 
21 Points: 25.2333333333333 Nominations: 50

Current Works for Round 11:
1 Points: 100.516666666667 Nominations: 193
2 Points: 73.4666666666667 Nominations: 138
3 Points: 71.9 Nominations: 135
4 Points: 68.1 Nominations: 133
5 Points: 65.7833333333333 Nominations: 118
6 Points: 51.9833333333333 Nominations: 101
7 Points: 48.4833333333333 Nominations: 91
8 Points: 46.95 Nominations: 90
9 Points: 35.4166666666667 Nominations: 74
10 Points: 33.0333333333333 Nominations: 69
11 Points: 38.2 Nominations: 68
12 Points: 37.0333333333333 Nominations: 62
13 Points: 29.8166666666667 Nominations: 61
14 Points: 29.45 Nominations: 58
15 Points: 28.4666666666667 Nominations: 56
16 Points: 26.4833333333333 Nominations: 55
17 Points: 29.9 Nominations: 54
18 Points: 29.0833333333333 Nominations: 53
22 Points: 26.2833333333333 Nominations: 50
25 Points: 26.65 Nominations: 50
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 38 Nominations: 75
34 Points: 37 Nominations: 74

Results of Round: 11
Work(s) Eliminated: 
22 Points: 26.2833333333333 Nominations: 50

Current Works for Round 12:
1 Points: 102.933333333333 Nominations: 193
2 Points: 73.6 Nominations: 138
3 Points: 72.65 Nominations: 135
4 Points: 70.0166666666667 Nominations: 133
5 Points: 66.1166666666666 Nominations: 118
6 Points: 52.95 Nominations: 101
7 Points: 49.65 Nominations: 91
8 Points: 47.95 Nominations: 90
9 Points: 36.5833333333333 Nominations: 74
10 Points: 34.5333333333333 Nominations: 69
11 Points: 38.5 Nominations: 68
12 Points: 37.8666666666667 Nominations: 62
13 Points: 30.45 Nominations: 61
14 Points: 29.7833333333333 Nominations: 58
15 Points: 28.8 Nominations: 56
16 Points: 26.4833333333333 Nominations: 55
17 Points: 29.9 Nominations: 54
18 Points: 29.1666666666667 Nominations: 53
25 Points: 27.0666666666667 Nominations: 50
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 38 Nominations: 75
34 Points: 37 Nominations: 74

Results of Round: 12
Work(s) Eliminated: 
25 Points: 27.0666666666667 Nominations: 50

Current Works for Round 13:
1 Points: 105.766666666667 Nominations: 193
2 Points: 76.15 Nominations: 138
3 Points: 73.1166666666667 Nominations: 135
4 Points: 70.8166666666667 Nominations: 133
5 Points: 67.6166666666667 Nominations: 118
6 Points: 53.2833333333333 Nominations: 101
7 Points: 50.4 Nominations: 91
8 Points: 48.0833333333333 Nominations: 90
9 Points: 36.75 Nominations: 74
10 Points: 34.7833333333333 Nominations: 69
11 Points: 39 Nominations: 68
12 Points: 38.6166666666667 Nominations: 62
13 Points: 30.6166666666667 Nominations: 61
14 Points: 30.45 Nominations: 58
15 Points: 29.65 Nominations: 56
16 Points: 27.2833333333333 Nominations: 55
17 Points: 29.95 Nominations: 54
18 Points: 29.6666666666667 Nominations: 53
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 38 Nominations: 75
34 Points: 37 Nominations: 74

Results of Round: 13
Work(s) Eliminated: 
16 Points: 27.2833333333333 Nominations: 55

Current Works for Round 14:
1 Points: 107.4 Nominations: 193
2 Points: 78.3666666666667 Nominations: 138
3 Points: 74.6166666666667 Nominations: 135
4 Points: 72.9 Nominations: 133
5 Points: 68.3666666666667 Nominations: 118
6 Points: 53.8666666666667 Nominations: 101
7 Points: 51.9 Nominations: 91
8 Points: 50.25 Nominations: 90
9 Points: 37 Nominations: 74
10 Points: 35.2833333333333 Nominations: 69
11 Points: 39.1666666666667 Nominations: 68
12 Points: 38.7833333333333 Nominations: 62
13 Points: 31.2 Nominations: 61
14 Points: 30.9166666666667 Nominations: 58
15 Points: 30.2833333333333 Nominations: 56
17 Points: 30.2 Nominations: 54
18 Points: 30.5 Nominations: 53
28 Points: 31.2833333333333 Nominations: 150
29 Points: 30.2833333333333 Nominations: 149
30 Points: 29.7833333333333 Nominations: 148
31 Points: 29.4499999999999 Nominations: 147
32 Points: 29.1999999999999 Nominations: 146
33 Points: 38 Nominations: 75
34 Points: 37 Nominations: 74

Results of Round: 14
Work(s) Eliminated: 
32 Points: 29.1999999999999 Nominations: 146

Current Works for Round 15:
1 Points: 107.4 Nominations: 193
2 Points: 78.3666666666667 Nominations: 138
3 Points: 74.6166666666667 Nominations: 135
4 Points: 72.9 Nominations: 133
5 Points: 68.3666666666667 Nominations: 118
6 Points: 53.8666666666667 Nominations: 101
7 Points: 51.9 Nominations: 91
8 Points: 50.25 Nominations: 90
9 Points: 37 Nominations: 74
10 Points: 35.2833333333333 Nominations: 69
11 Points: 39.1666666666667 Nominations: 68
12 Points: 38.7833333333333 Nominations: 62
13 Points: 31.2 Nominations: 61
14 Points: 30.9166666666667 Nominations: 58
15 Points: 30.2833333333333 Nominations: 56
17 Points: 30.2 Nominations: 54
18 Points: 30.5 Nominations: 53
28 Points: 38.5833333333333 Nominations: 150
29 Points: 37.5833333333333 Nominations: 149
30 Points: 37.0833333333333 Nominations: 148
31 Points: 36.75 Nominations: 147
33 Points: 38 Nominations: 75
34 Points: 37 Nominations: 74

Results of Round: 15
Work(s) Eliminated: 
17 Points: 30.2 Nominations: 54

Current Works for Round 16:
1 Points: 108.7 Nominations: 193
2 Points: 80.95 Nominations: 138
3 Points: 76.3666666666667 Nominations: 135
4 Points: 73.6166666666667 Nominations: 133
5 Points: 70.1166666666667 Nominations: 118
6 Points: 54.5 Nominations: 101
7 Points: 52.4 Nominations: 91
8 Points: 51.0833333333333 Nominations: 90
9 Points: 37.0833333333333 Nominations: 74
10 Points: 35.45 Nominations: 69
11 Points: 39.6666666666667 Nominations: 68
12 Points: 39.3333333333333 Nominations: 62
13 Points: 31.7 Nominations: 61
14 Points: 31.5 Nominations: 58
15 Points: 31.6166666666667 Nominations: 56
18 Points: 30.9166666666667 Nominations: 53
28 Points: 38.5833333333333 Nominations: 150
29 Points: 37.5833333333333 Nominations: 149
30 Points: 37.0833333333333 Nominations: 148
31 Points: 36.75 Nominations: 147
33 Points: 38 Nominations: 75
34 Points: 37 Nominations: 74

Results of Round: 16
Work(s) Eliminated: 
18 Points: 30.9166666666667 Nominations: 53

Current Works for Round 17:
1 Points: 111.7 Nominations: 193
2 Points: 82.6166666666667 Nominations: 138
3 Points: 77.2833333333333 Nominations: 135
4 Points: 75.0333333333333 Nominations: 133
5 Points: 72.6166666666667 Nominations: 118
6 Points: 55.25 Nominations: 101
7 Points: 52.9 Nominations: 91
8 Points: 52.9166666666667 Nominations: 90
9 Points: 37.9166666666667 Nominations: 74
10 Points: 35.95 Nominations: 69
11 Points: 40.3333333333333 Nominations: 68
12 Points: 39.75 Nominations: 62
13 Points: 32.2 Nominations: 61
14 Points: 32.6666666666667 Nominations: 58
15 Points: 31.8666666666667 Nominations: 56
28 Points: 38.5833333333333 Nominations: 150
29 Points: 37.5833333333333 Nominations: 149
30 Points: 37.0833333333333 Nominations: 148
31 Points: 36.75 Nominations: 147
33 Points: 38 Nominations: 75
34 Points: 37 Nominations: 74

Results of Round: 17
Work(s) Eliminated: 
15 Points: 31.8666666666667 Nominations: 56

Current Works for Round 18:
1 Points: 112.5 Nominations: 193
2 Points: 84.6666666666667 Nominations: 138
3 Points: 78.25 Nominations: 135
4 Points: 76.3666666666667 Nominations: 133
5 Points: 74.7833333333333 Nominations: 118
6 Points: 56.1666666666667 Nominations: 101
7 Points: 54.2833333333333 Nominations: 91
8 Points: 54.3333333333333 Nominations: 90
9 Points: 39.0833333333333 Nominations: 74
10 Points: 36.7 Nominations: 69
11 Points: 40.75 Nominations: 68
12 Points: 39.8333333333333 Nominations: 62
13 Points: 32.8666666666667 Nominations: 61
14 Points: 34.4166666666667 Nominations: 58
28 Points: 38.5833333333333 Nominations: 150
29 Points: 37.5833333333333 Nominations: 149
30 Points: 37.0833333333333 Nominations: 148
31 Points: 36.75 Nominations: 147
33 Points: 38 Nominations: 75
34 Points: 37 Nominations: 74

Results of Round: 18
Work(s) Eliminated: 
14 Points: 34.4166666666667 Nominations: 58

Current Works for Round 19:
1 Points: 115.916666666667 Nominations: 193
2 Points: 86.1666666666667 Nominations: 138
3 Points: 80.4166666666667 Nominations: 135
4 Points: 78.7833333333333 Nominations: 133
5 Points: 76.7833333333333 Nominations: 118
6 Points: 56.8333333333333 Nominations: 101
7 Points: 55.3666666666667 Nominations: 91
8 Points: 55.75 Nominations: 90
9 Points: 41.5833333333333 Nominations: 74
10 Points: 37.2833333333333 Nominations: 69
11 Points: 41.3333333333333 Nominations: 68
12 Points: 39.8333333333333 Nominations: 62
13 Points: 32.95 Nominations: 61
28 Points: 38.5833333333333 Nominations: 150
29 Points: 37.5833333333333 Nominations: 149
30 Points: 37.0833333333333 Nominations: 148
31 Points: 36.75 Nominations: 147
33 Points: 38 Nominations: 75
34 Points: 37 Nominations: 74

Results of Round: 19
Work(s) Eliminated: 
13 Points: 32.95 Nominations: 61

Current Works for Round 20:
1 Points: 118.083333333333 Nominations: 193
2 Points: 88.0833333333333 Nominations: 138
3 Points: 81.6666666666667 Nominations: 135
4 Points: 80 Nominations: 133
5 Points: 78.4166666666667 Nominations: 118
6 Points: 58.8333333333333 Nominations: 101
7 Points: 57.9166666666667 Nominations: 91
8 Points: 57.9166666666667 Nominations: 90
9 Points: 43.25 Nominations: 74
10 Points: 38.4166666666667 Nominations: 69
11 Points: 41.75 Nominations: 68
12 Points: 40.6666666666667 Nominations: 62
28 Points: 38.5833333333333 Nominations: 150
29 Points: 37.5833333333333 Nominations: 149
30 Points: 37.0833333333333 Nominations: 148
31 Points: 36.75 Nominations: 147
33 Points: 38 Nominations: 75
34 Points: 37 Nominations: 74

Results of Round: 20
Work(s) Eliminated: 
34 Points: 37 Nominations: 74

Current Works for Round 21:
1 Points: 118.083333333333 Nominations: 193
2 Points: 88.0833333333333 Nominations: 138
3 Points: 81.6666666666667 Nominations: 135
4 Points: 80 Nominations: 133
5 Points: 78.4166666666667 Nominations: 118
6 Points: 58.8333333333333 Nominations: 101
7 Points: 57.9166666666667 Nominations: 91
8 Points: 57.9166666666667 Nominations: 90
9 Points: 43.25 Nominations: 74
10 Points: 38.4166666666667 Nominations: 69
11 Points: 41.75 Nominations: 68
12 Points: 40.6666666666667 Nominations: 62
28 Points: 38.5833333333333 Nominations: 150
29 Points: 37.5833333333333 Nominations: 149
30 Points: 37.0833333333333 Nominations: 148
31 Points: 36.75 Nominations: 147
33 Points: 75 Nominations: 75

Results of Round: 21
Work(s) Eliminated: 
31 Points: 36.75 Nominations: 147

Current Works for Round 22:
1 Points: 118.083333333333 Nominations: 193
2 Points: 88.0833333333333 Nominations: 138
3 Points: 81.6666666666667 Nominations: 135
4 Points: 80 Nominations: 133
5 Points: 78.4166666666667 Nominations: 118
6 Points: 58.8333333333333 Nominations: 101
7 Points: 57.9166666666667 Nominations: 91
8 Points: 57.9166666666667 Nominations: 90
9 Points: 43.25 Nominations: 74
10 Points: 38.4166666666667 Nominations: 69
11 Points: 41.75 Nominations: 68
12 Points: 40.6666666666667 Nominations: 62
28 Points: 50.8333333333334 Nominations: 150
29 Points: 49.8333333333334 Nominations: 149
30 Points: 49.3333333333334 Nominations: 148
33 Points: 75 Nominations: 75

Results of Round: 22
Work(s) Eliminated: 
12 Points: 40.6666666666667 Nominations: 62

Current Works for Round 23:
1 Points: 121.25 Nominations: 193
2 Points: 88.9166666666667 Nominations: 138
3 Points: 84 Nominations: 135
4 Points: 81.9166666666667 Nominations: 133
5 Points: 79.25 Nominations: 118
6 Points: 60.0833333333333 Nominations: 101
7 Points: 59.1666666666667 Nominations: 91
8 Points: 58.5833333333333 Nominations: 90
9 Points: 43.25 Nominations: 74
10 Points: 39.25 Nominations: 69
11 Points: 43.3333333333333 Nominations: 68
28 Points: 50.8333333333334 Nominations: 150
29 Points: 49.8333333333334 Nominations: 149
30 Points: 49.3333333333334 Nominations: 148
33 Points: 75 Nominations: 75

Results of Round: 23
Work(s) Eliminated: 
10 Points: 39.25 Nominations: 69

Current Works for Round 24:
1 Points: 124.5 Nominations: 193
2 Points: 92.5833333333333 Nominations: 138
3 Points: 86.8333333333333 Nominations: 135
4 Points: 84.75 Nominations: 133
5 Points: 80.5833333333333 Nominations: 118
6 Points: 62.0833333333333 Nominations: 101
7 Points: 61.4166666666667 Nominations: 91
8 Points: 59.9166666666667 Nominations: 90
9 Points: 44.8333333333333 Nominations: 74
11 Points: 44.5 Nominations: 68
28 Points: 50.8333333333334 Nominations: 150
29 Points: 49.8333333333334 Nominations: 149
30 Points: 49.3333333333334 Nominations: 148
33 Points: 75 Nominations: 75

Results of Round: 24
Work(s) Eliminated: 
11 Points: 44.5 Nominations: 68

Current Works for Round 25:
